GMS,Feature,AUROC,Youden_Cutoff,CI_95_Lower,CI_95_Upper
GMS1,SNV_Frac,0.5,inf,0.5,0.5
GMS1,Indel_Frac,0.5,inf,0.5,0.5
GMS1,HIGH_Frac,0.21505541871921183,0.04081632653061224,0.12052139029595237,0.3168979971426946
GMS1,CWML,0.24553571428571427,-12064.678389722378,0.19994950272428721,0.2892741687192118
GMS1,AAR,0.03925492610837439,2.4677234803792825,0.021348089523165602,0.05956088322246859
GMS10,SNV_Frac,0.5,inf,0.5,0.5
GMS10,Indel_Frac,0.5,inf,0.5,0.5
GMS10,HIGH_Frac,0.9708368794326241,0.08019191226867718,0.9532610967605072,0.9835036059878497
GMS10,CWML,0.2044255319148936,-16961.538095059368,0.1661641359566005,0.25113956485914496
GMS10,AAR,0.21478014184397162,2.5325842991518988,0.1754275865078737,0.25494998382226053
GMS11,SNV_Frac,0.5,inf,0.5,0.5
GMS11,Indel_Frac,0.5,inf,0.5,0.5
GMS11,HIGH_Frac,0.2455470737913486,0.041639127561136816,0.1794865598582154,0.31060282811578244
GMS11,CWML,0.050188646134947786,-29488.33496067934,0.030274124469375375,0.07448191717495117
GMS11,AAR,0.0404931122225147,2.4491286333487468,0.0237763421856621,0.06291756465517243
GMS12,SNV_Frac,0.5,inf,0.5,0.5
GMS12,Indel_Frac,0.5,inf,0.5,0.5
GMS12,HIGH_Frac,0.45704558517928995,0.05132192846034215,0.4099994730752673,0.5164210636956065
GMS12,CWML,0.3763098554184905,-10365.817673855587,0.327718893620877,0.41566035426710507
GMS12,AAR,0.4973471282663483,2.6090996750156505,0.43631915803790805,0.5471049829361025
GMS13,SNV_Frac,0.5,inf,0.5,0.5
GMS13,Indel_Frac,0.5,inf,0.5,0.5
GMS13,HIGH_Frac,0.13933427097984058,0.04460966542750929,0.10051267113267397,0.17831536217347227
GMS13,CWML,0.7253633380215658,-5043.620452769259,0.6673802179962894,0.7903360761691619
GMS13,AAR,0.8068448195030473,2.775731168248382,0.7640015061507651,0.8514338693969523
GMS2,SNV_Frac,0.5,inf,0.5,0.5
GMS2,Indel_Frac,0.5,inf,0.5,0.5
GMS2,HIGH_Frac,0.575280975877193,0.06108202443280977,0.51950179973822,0.6382836186035625
GMS2,CWML,0.6143777412280702,-8280.352384646589,0.5450215871710525,0.686617880263726
GMS2,AAR,0.9002192982456141,2.829782303168376,0.8676449434688325,0.9276423634988427
GMS3,SNV_Frac,0.5,inf,0.5,0.5
GMS3,Indel_Frac,0.5,inf,0.5,0.5
GMS3,HIGH_Frac,0.8047961630695444,0.06953290870488323,0.7139311939469903,0.8727223178427995
GMS3,CWML,0.05371702637889689,-33462.468143232945,0.022140620600645863,0.09020012183106366
GMS3,AAR,0.9069544364508394,2.9781239779720385,0.8802950310559006,0.9381407394688644
GMS4,SNV_Frac,0.5,inf,0.5,0.5
GMS4,Indel_Frac,0.5,inf,0.5,0.5
GMS4,HIGH_Frac,0.917938509179385,0.07430129516019086,0.8723436522826767,0.9568577099579417
GMS4,CWML,0.04379562043795617,-22918.27268152458,0.023547105835701996,0.06450740577488749
GMS4,AAR,0.2041583720415837,2.5040299018708896,0.13760100422751023,0.27573385811440604
GMS5,SNV_Frac,0.5,inf,0.5,0.5
GMS5,Indel_Frac,0.5,inf,0.5,0.5
GMS5,HIGH_Frac,0.5369969770086253,0.05718954248366013,0.4866682161370296,0.5999425538821308
GMS5,CWML,0.9367945197881133,-4069.8400560099985,0.9130649688551425,0.9578672349199581
GMS5,AAR,0.5311035305211194,2.65338887313837,0.4813098785180453,0.577192624779638
GMS6,SNV_Frac,0.5,inf,0.5,0.5
GMS6,Indel_Frac,0.5,inf,0.5,0.5
GMS6,HIGH_Frac,0.31984886649874056,0.04341317365269461,0.24376112980330694,0.39695660907995184
GMS6,CWML,0.4053400503778337,-11357.626320558093,0.33730544276947316,0.47939668351201853
GMS6,AAR,0.9989924433249371,3.10335310068622,0.9968588459208387,1.0
GMS7,SNV_Frac,0.5,inf,0.5,0.5
GMS7,Indel_Frac,0.5,inf,0.5,0.5
GMS7,HIGH_Frac,0.8477524630541873,0.07196401799100449,0.8002403437000014,0.8884130791092631
GMS7,CWML,0.4073275862068966,-7811.228874245819,0.360121238153023,0.47599440658451586
GMS7,AAR,0.6180726600985221,2.688729495027556,0.524691974011827,0.695137168002321
GMS8,SNV_Frac,0.5,inf,0.5,0.5
GMS8,Indel_Frac,0.5,inf,0.5,0.5
GMS8,HIGH_Frac,0.21614583333333334,0.04289249381358262,0.0230449148231442,0.41895933014354086
GMS8,CWML,0.0,inf,0.0,0.0
GMS8,AAR,0.15705128205128205,inf,0.021361381050804495,0.2833788127990431
GMS9,SNV_Frac,0.5,inf,0.5,0.5
GMS9,Indel_Frac,0.5,inf,0.5,0.5
GMS9,HIGH_Frac,0.07095771144278608,inf,0.039637171261719374,0.10591697462159418
GMS9,CWML,0.592910447761194,-7889.081416266477,0.5090619921748044,0.6896239040795118
GMS9,AAR,0.33936567164179104,2.5530358934129134,0.25442734585958593,0.4046511708438703
